BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199103,27,2007,199103,27,2007,,10055324,MICHIGAN,26.0,1991,March,Thunderstorm Wind,C,161,WASHTENAW,DTW,27-MAR-91 20:07:00,CST,27-MAR-91 20:07:00,0,0,0,0,0,0.0,,59.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.28,-83.73,,,,,PUB
199103,27,2015,199103,27,2015,,10055326,MICHIGAN,26.0,1991,March,Thunderstorm Wind,C,163,WAYNE,DTW,27-MAR-91 20:15:00,CST,27-MAR-91 20:15:00,0,0,0,0,0,0.0,,59.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.23,-83.53,,,,,PUB
199104,9,1425,199104,9,1425,,10055345,MICHIGAN,26.0,1991,April,Hail,C,161,WASHTENAW,DTW,09-APR-91 14:25:00,CST,09-APR-91 14:25:00,0,0,0,0,0,0.0,,1.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.25,-83.83,,,,,PUB
199104,9,1444,199104,9,1444,,10055347,MICHIGAN,26.0,1991,April,Hail,C,161,WASHTENAW,DTW,09-APR-91 14:44:00,CST,09-APR-91 14:44:00,0,0,0,0,0,0.0,,0.75,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.1,-83.67,,,,,PUB
199107,7,1900,199107,7,1900,,10052504,MICHIGAN,26.0,1991,July,Thunderstorm Wind,C,161,WASHTENAW,DTW,07-JUL-91 19:00:00,CST,07-JUL-91 19:00:00,0,0,0,0,0,0.0,,50.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.28,-83.73,,,,,PUB
199107,7,1839,199107,7,1839,,10052498,MICHIGAN,26.0,1991,July,Thunderstorm Wind,C,161,WASHTENAW,DTW,07-JUL-91 18:39:00,CST,07-JUL-91 18:39:00,0,0,0,0,0,0.0,,72.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.23,-83.62,,,,,PUB
199104,9,1503,199104,9,1503,,10051664,MICHIGAN,26.0,1991,April,Hail,C,161,WASHTENAW,DTW,09-APR-91 15:03:00,CST,09-APR-91 15:03:00,0,0,0,0,0,0.0,,0.75,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.23,-83.62,,,,,PUB
199107,7,1915,199107,7,1915,,10053362,MICHIGAN,26.0,1991,July,Thunderstorm Wind,C,161,WASHTENAW,DTW,07-JUL-91 19:15:00,CST,07-JUL-91 19:15:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.25,-83.83,,,,,PUB
199106,11,1436,199106,11,1436,,10052866,MICHIGAN,26.0,1991,June,Thunderstorm Wind,C,161,WASHTENAW,DTW,11-JUN-91 14:36:00,CST,11-JUN-91 14:36:00,0,0,0,0,0,0.0,,50.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.22,-83.73,,,,,PUB
199206,17,1834,199206,17,1834,,10055387,MICHIGAN,26.0,1992,June,Thunderstorm Wind,C,161,WASHTENAW,DTW,17-JUN-92 18:34:00,PST,17-JUN-92 18:34:00,0,0,0,0,0,0.0,,56.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.3,-83.95,,,,,PUB
199206,17,1845,199206,17,1845,,10055391,MICHIGAN,26.0,1992,June,Thunderstorm Wind,C,161,WASHTENAW,DTW,17-JUN-92 18:45:00,PST,17-JUN-92 18:45:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.42,-83.75,,,,,PUB
199206,17,1845,199206,17,1845,,10055392,MICHIGAN,26.0,1992,June,Thunderstorm Wind,C,161,WASHTENAW,DTW,17-JUN-92 18:45:00,PST,17-JUN-92 18:45:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.17,-83.77,,,,,PUB
199207,4,1930,199207,4,1930,,10055407,MICHIGAN,26.0,1992,July,Thunderstorm Wind,C,161,WASHTENAW,DTW,04-JUL-92 19:30:00,PST,04-JUL-92 19:30:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.33,-83.87,,,,,PUB
199206,17,1900,199206,17,1900,,10055394,MICHIGAN,26.0,1992,June,Thunderstorm Wind,C,161,WASHTENAW,DTW,17-JUN-92 19:00:00,PST,17-JUN-92 19:00:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.23,-83.62,,,,,PUB
199206,18,1409,199206,18,1409,,10055401,MICHIGAN,26.0,1992,June,Thunderstorm Wind,C,161,WASHTENAW,DTW,18-JUN-92 14:09:00,PST,18-JUN-92 14:09:00,0,0,0,0,0,0.0,,50.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.28,-83.73,,,,,PUB
199204,16,1350,199204,16,1350,,10053634,MICHIGAN,26.0,1992,April,Thunderstorm Wind,C,161,WASHTENAW,DTW,16-APR-92 13:50:00,PST,16-APR-92 13:50:00,0,0,0,0,0,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.38,-83.58,,,,,PUB
199204,16,1403,199204,16,1403,,10053635,MICHIGAN,26.0,1992,April,Tornado,C,163,WAYNE,,16-APR-92 14:03:00,EST,16-APR-92 14:03:00,4,0,0,0,2.5M,0.0,,0.0,,,,F2,2.0,50.0,,,,,0.0,,,0.0,,,42.37,-83.52,,,,,PUB
199210,8,2055,199210,8,2055,,10052044,MICHIGAN,26.0,1992,October,Thunderstorm Wind,C,161,WASHTENAW,DTW,08-OCT-92 20:55:00,PST,08-OCT-92 20:55:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.17,-83.77,,,,,PUB
199211,22,1800,199211,22,1800,,10052050,MICHIGAN,26.0,1992,November,Thunderstorm Wind,C,161,WASHTENAW,DTW,22-NOV-92 18:00:00,PST,22-NOV-92 18:00:00,0,0,0,0,0,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.17,-83.77,,,,,PUB
199204,23,1835,199204,23,1835,,10156285,MICHIGAN,26.0,1992,April,Hail,C,161,WASHTENAW,DTW,23-APR-92 18:35:00,CST,23-APR-92 18:35:00,0,0,0,0,0,0.0,,0.75,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.23,-83.62,,,,,PUB
199605,20,1551,199605,20,1551,2034300.0,5555244,MICHIGAN,26.0,1996,May,Thunderstorm Wind,C,161,WASHTENAW,DTX,20-MAY-96 15:51:00,EST,20-MAY-96 15:51:00,0,0,0,0,,,,50.0,,,,,,,,,,,,,DEXTER,,,DEXTER,42.33,-83.87,42.33,-83.87,,,PDC
199607,24,1147,199607,24,1147,2039442.0,5559717,MICHIGAN,26.0,1996,July,Thunderstorm Wind,C,93,LIVINGSTON,DTX,24-JUL-96 11:47:00,EST,24-JUL-96 11:47:00,0,0,0,0,,,,50.0,,,,,,,,,,,,,PINCKNEY,,,PINCKNEY,42.45,-83.93,42.45,-83.93,,,PDC
199607,24,1200,199607,24,1200,2039443.0,5559718,MICHIGAN,26.0,1996,July,Thunderstorm Wind,C,161,WASHTENAW,DTX,24-JUL-96 12:00:00,EST,24-JUL-96 12:00:00,0,0,0,0,,,,55.0,,,,,,,,,,,10.0,NW,ANN ARBOR,10.0,NW,ANN ARBOR,42.38,-83.87,42.38,-83.87,,,PDC
199604,12,1530,199604,12,1530,2031186.0,5548750,MICHIGAN,26.0,1996,April,Hail,C,161,WASHTENAW,DTX,12-APR-96 15:30:00,EST,12-APR-96 15:30:00,0,0,0,0,,,,1.5,,,,,,,,,,,,,SALEM,,,SALEM,42.4,-83.57,42.4,-83.57,,,PDC
199609,11,1530,199609,11,1530,2045719.0,5565704,MICHIGAN,26.0,1996,September,Hail,C,161,WASHTENAW,DTX,11-SEP-96 15:30:00,EST,11-SEP-96 15:30:00,0,0,0,0,,,,1.75,,,,,,,,,,,,,DEXTER,,,DEXTER,42.33,-83.87,42.33,-83.87,,,PDC
199707,8,1905,199707,8,1905,2065723.0,5607735,MICHIGAN,26.0,1997,July,Hail,C,161,WASHTENAW,DTX,08-JUL-97 19:05:00,EST,08-JUL-97 19:05:00,0,0,0,0,,,,1.0,,,,,,,,,,,,,DIXBORO,,,DIXBORO,42.32,-83.65,42.32,-83.65,Low pressure tracked across southern Michigan on the 8th.  The resulting thunderstorms produced large hail across parts of the area during the afternoon.  Inch diameter hail was reported at Warren and Dixboro.,,PDC
199707,2,1635,199707,2,1635,2065721.0,5607612,MICHIGAN,26.0,1997,July,Thunderstorm Wind,C,161,WASHTENAW,DTX,02-JUL-97 16:35:00,EST,02-JUL-97 16:35:00,0,0,0,0,20K,,,60.0,,,,,,,,,,,,,WHITMORE LAKE,,,WHITMORE LAKE,42.42,-83.75,42.42,-83.75,,,PDC
199707,2,1635,199707,2,1635,2065721.0,5607613,MICHIGAN,26.0,1997,July,Thunderstorm Wind,C,161,WASHTENAW,DTX,02-JUL-97 16:35:00,EST,02-JUL-97 16:35:00,0,0,0,0,,,,60.0,,,,,,,,,,,,,DEXTER,,,DEXTER,42.33,-83.87,42.33,-83.87,,,PDC
199707,8,1842,199707,8,1842,2065723.0,5607739,MICHIGAN,26.0,1997,July,Thunderstorm Wind,C,161,WASHTENAW,DTX,08-JUL-97 18:42:00,EST,08-JUL-97 18:42:00,0,0,0,0,,,,52.0,,,,,,,,,,,5.0,NE,MANCHESTER,5.0,NE,MANCHESTER,42.2,-83.97,42.2,-83.97,Low pressure tracked across southern Michigan on the 8th.  The resulting thunderstorms produced large hail across parts of the area during the afternoon.  Inch diameter hail was reported at Warren and Dixboro.,,PDC
199707,8,1815,199707,8,1815,2065723.0,5607731,MICHIGAN,26.0,1997,July,Hail,C,161,WASHTENAW,DTX,08-JUL-97 18:15:00,EST,08-JUL-97 18:15:00,0,0,0,0,,,,0.75,,,,,,,,,,,5.0,S,SALEM,5.0,S,SALEM,42.33,-83.57,42.33,-83.57,Low pressure tracked across southern Michigan on the 8th.  The resulting thunderstorms produced large hail across parts of the area during the afternoon.  Inch diameter hail was reported at Warren and Dixboro.,,PDC
199705,5,2232,199705,5,2232,2062641.0,5600208,MICHIGAN,26.0,1997,May,Hail,C,161,WASHTENAW,DTX,05-MAY-97 22:32:00,EST,05-MAY-97 22:32:00,0,0,0,0,,,,0.75,,,,,,,,,,,,,DEXTER,,,DEXTER,42.33,-83.87,42.33,-83.87,"A cold front tracked across southeast Michigan late on the 5th, triggering scattered thunderstorms.  A severe storm in Saginaw county near Hemlock produced golf ball-sized hail and strong winds that flipped a 10-foot snowmobile trailer, tore siding off of a garage, and flattened a 45-foot tree.  Trees were also uprooted in Oxford, in Oakland county.  Three-quarter inch hail was reported at Grand Blanc in Genesee county, and in Westland, Livonia and Dearborn in Wayne county.",,PDC
199812,6,2323,199812,6,2325,2151175.0,5677416,MICHIGAN,26.0,1998,December,Thunderstorm Wind,C,161,WASHTENAW,DTX,06-DEC-98 23:23:00,EST,06-DEC-98 23:25:00,0,0,0,0,175K,,OFFICIAL NWS OBS.,56.0,,,,,,,,,,,,,ANN ARBOR,,,YPSILANTI,42.28,-83.73,42.23,-83.62,"The first several days of December were unseasonably warm in southeast Michigan.  The warm weather culminated on the 6th, when Detroit reached a high of 69 degrees - the warmest reading ever in Detroit in December.  However, a powerful cold front swung through the state late in the evening on the 6th.  A thin line of showers and thunderstorms accompanied the front, moving east at about 50 mph.  Many of the storms along the line produced wind damage.  The result was a December severe weather episode - a rather uncommon event for Michigan.  Most of the wind damage occurred immediately behind the line of convection, and the majority of the damage involved the downing of trees, large limbs, and power lines.The majority of the severe weather occurred near or south of Interstate 69.  The most notable exception to this was a swath of wind damage across southern Sanilac County, from Marlette to Lexington.  Barns and silos were destroyed near Marlette, and a home was deroofed.A more spotty damage path roughly followed I-69 from Davison to Port Huron.  A National Weather Service employee estimated 60 mph wind in Davison.  Limbs and power lines were downed further east, in Lapeer and Port Huron.  Damage was also spotty across Livingston, Oakland, and Macomb Counties.  In Oakland County, the National Weather Service office in White Lake measured a 63 mph gust.  In Farmington, a home was heavily damaged when it was struck by a large evergreen.  A tree fell onto a vehicle on Middlebelt Road in West Bloomfield Township, and the two occupants suffered minor injuries.  In Birmingham, the walls of a construction project were blown over, while in Troy, a billboard was shredded by severe winds.  The city of Utica in Macomb County was especially hard hit, with many trees and power lines downed.Damage was a little heavier across Washtenaw and Wayne Counties.  A barn was destroyed near Manchester.  A 64 mph gust was measured at the University of Michigan in Ann Arbor, while Detroit Metropolitan Airport had a 60 mph gust.  In between those two sites, heavy damage occurred in Ypsilanti and at nearby Willow Run Airport.  Three apartments suffered extensive roof damage near Ypsilanti, and a home was damaged by a falling tree.  At Willow Run Airport, many planes were tossed about, resulting in the destruction of 4 planes, and damage to another half-dozen or so.  In Livonia, a metal shed was thrown into a yard two homes down from where it started.  In addition, the walls of a drug store under construction were toppled.  Nativity scenes were thrown about in Plymouth and Romulus.  An historic elm tree lost large limbs in Lincoln Park, a nearby school suffered substantial roof damage, and a dry cleaners under construction was damaged.  In Trenton, a trampoline became airborne and flew into nearby tree limbs and power lines, downing them.Damage was isolated in the southernmost tier of counties.  A tree fell on a home in Devils Lake, and an uprooted tree came crashing down onto a garage in Monroe.",,PDC
199812,6,2340,199812,6,2345,2151175.0,5677417,MICHIGAN,26.0,1998,December,Thunderstorm Wind,C,163,WAYNE,DTX,06-DEC-98 23:40:00,EST,06-DEC-98 23:45:00,0,0,0,0,365K,,"AWOS,ASOS,MESONET,ETC",56.0,,,,,,,,,,,,,WILLOW RUN ARPT,,,ROMULUS,42.23,-83.53,42.22,-83.38,"The first several days of December were unseasonably warm in southeast Michigan.  The warm weather culminated on the 6th, when Detroit reached a high of 69 degrees - the warmest reading ever in Detroit in December.  However, a powerful cold front swung through the state late in the evening on the 6th.  A thin line of showers and thunderstorms accompanied the front, moving east at about 50 mph.  Many of the storms along the line produced wind damage.  The result was a December severe weather episode - a rather uncommon event for Michigan.  Most of the wind damage occurred immediately behind the line of convection, and the majority of the damage involved the downing of trees, large limbs, and power lines.The majority of the severe weather occurred near or south of Interstate 69.  The most notable exception to this was a swath of wind damage across southern Sanilac County, from Marlette to Lexington.  Barns and silos were destroyed near Marlette, and a home was deroofed.A more spotty damage path roughly followed I-69 from Davison to Port Huron.  A National Weather Service employee estimated 60 mph wind in Davison.  Limbs and power lines were downed further east, in Lapeer and Port Huron.  Damage was also spotty across Livingston, Oakland, and Macomb Counties.  In Oakland County, the National Weather Service office in White Lake measured a 63 mph gust.  In Farmington, a home was heavily damaged when it was struck by a large evergreen.  A tree fell onto a vehicle on Middlebelt Road in West Bloomfield Township, and the two occupants suffered minor injuries.  In Birmingham, the walls of a construction project were blown over, while in Troy, a billboard was shredded by severe winds.  The city of Utica in Macomb County was especially hard hit, with many trees and power lines downed.Damage was a little heavier across Washtenaw and Wayne Counties.  A barn was destroyed near Manchester.  A 64 mph gust was measured at the University of Michigan in Ann Arbor, while Detroit Metropolitan Airport had a 60 mph gust.  In between those two sites, heavy damage occurred in Ypsilanti and at nearby Willow Run Airport.  Three apartments suffered extensive roof damage near Ypsilanti, and a home was damaged by a falling tree.  At Willow Run Airport, many planes were tossed about, resulting in the destruction of 4 planes, and damage to another half-dozen or so.  In Livonia, a metal shed was thrown into a yard two homes down from where it started.  In addition, the walls of a drug store under construction were toppled.  Nativity scenes were thrown about in Plymouth and Romulus.  An historic elm tree lost large limbs in Lincoln Park, a nearby school suffered substantial roof damage, and a dry cleaners under construction was damaged.  In Trenton, a trampoline became airborne and flew into nearby tree limbs and power lines, downing them.Damage was isolated in the southernmost tier of counties.  A tree fell on a home in Devils Lake, and an uprooted tree came crashing down onto a garage in Monroe.",,PDC
199806,12,1719,199806,12,1725,2078486.0,5650837,MICHIGAN,26.0,1998,June,Thunderstorm Wind,C,161,WASHTENAW,DTX,12-JUN-98 17:19:00,EST,12-JUN-98 17:25:00,0,0,0,0,5K,,TRAINED SPOTTER,52.0,,,,,,,,,,,3.0,N,YPSILANTI,5.0,S,YPSILANTI,42.28,-83.62,42.17,-83.62,"A strong area of low pressure moved slowly east across the Upper Peninsula of Michigan during the day.  The associated cold front crossed the Lower Peninsula during the late afternoon and evening hours.  Severe thunderstorms developed in southern Michigan ahead of the cold front.The cluster of storms that affected southeast Michigan had produced a tornado near Battle Creek earlier in the day.  No tornadoes occurred in southeast Michigan; in fact, most of damage was only marginally severe.  The exception to this was in the small community of Mooreville in southern Washtenaw County.  Almost every residence in town suffered at least some tree damage, several cars were damaged, and the roof of a house was smashed.Elsewhere, a couple of trees were downed just southeast of Saline, as well as south of Ypsilanti.  A spotter north of Ypsilanti estimated 60 mph winds, as did the general public in Belleville.  In Ida, a tree was downed, and several telephone poles were bent by thunderstorm winds.  Dime sized hail was reported near Michigan Speedway and in western Monroe County.",,PDC
199806,26,137,199806,26,152,2078492.0,5649409,MICHIGAN,26.0,1998,June,Thunderstorm Wind,C,161,WASHTENAW,DTX,26-JUN-98 01:37:00,EST,26-JUN-98 01:52:00,0,0,0,0,10K,,LAW ENFORCEMENT,52.0,,,,,,,,,,,,,DEXTER,2.0,W,ANN ARBOR,42.33,-83.87,42.28,-83.77,"A hot and humid airmass had settled over Michigan.  Afternoon temperatures rose into the 90s, with dew points in the 70s.  This produced an unstable air mass, and scattered thunderstorms developed in the evening hours.  The approach of an upper level jet allowed some thunderstorms to persist well past midnight.During the evening, severe thunderstorms sporadically produced large hail and damaging winds.  Power lines were downed by winds in Mayville, and a large tree was felled in Vassar.  Gusts of 60 mph were estimated in both Owosso and Byron.  In Clio, the problem was hail; dime sized or larger hail fell for fifteen minutes.  Golfball sized hail fell on two occasions during that time period.  Large hail was also reported in parts of Tuscola County, and in southern Genesee County.A weakening area of thunderstorms moved southeast into Washtenaw and Lenawee Counties after midnight.  These storms were still potent enough to generate severe wind gusts in the western parts of these counties.  Trees were downed in Dexter, Addison, north of Chelsea, and just west of Ann Arbor.  Law enforcement estimated a 60 mph gust near Manchester.  These storms weakened below severe limits as they continued east.",,PDC
